key	calle	altura	barrio	usig_lat	usig_lon	georef_lat	georef_lon	n_ok	max_pairwise_m	consensus_lat	consensus_lon
borges jorge luis|2100|palermo	Borges Jorge Luis	2100	Palermo	-34.585614	-58.425513	-34.5855977163269	-58.4253825087469	2	12.1	-34.5856059	-58.4254478
teodoro garcia|2000|belgrano	Teodoro García	2000	Belgrano	-34.565795	-58.442242	-34.5658402249883	-58.442353203847	2	11.4	-34.5658176	-58.4422976
zado|3500|villa urquiza	Zado	3500	Villa Urquiza	-34.570482	-58.504507	-34.5703832506804	-58.5045348606528	2	11.2	-34.5704326	-58.5045209
juan agustin garcia|1700|la paternal	Juan Agustin Garcia	1700	La Paternal	-34.602859	-58.466681	-34.6028903342769	-58.4668521451184	2	16.1	-34.6028747	-58.4667666
estado de palestina|500|almagro	Estado De Palestina	500	Almagro					0			
avellaneda|800|caballito	Avellaneda	800	Caballito	-34.615669	-58.441822	-34.6156928871311	-58.4419431516631	2	11.4	-34.6156809	-58.4418826
av del libertador|4300|palermo	Av. Del Libertador	4300	Palermo	-34.569617	-58.426663	-34.568132878892015	-58.42888683681906	2	262.2	-34.5688749	-58.4277749
deheza|2800|nunez	Deheza	2800	Nuñez	-34.542732	-58.477386	-34.542728600873	-58.4775070212669	2	11.1	-34.5427303	-58.4774465
manuela pedraza|2900|nunez	Manuela Pedraza	2900	Nuñez	-34.554081	-58.470686	-34.5540892530872	-58.4707039266012	2	1.9	-34.5540851	-58.470695
santa fe av|5228|palermo	Santa Fe Av	5228	Palermo	-34.576086	-58.433576	-34.575859980576034	-58.43322789010184	2	40.6	-34.575973	-58.4334019
unidad|203|palermo	Unidad	203	Palermo					0			
av corrientes|2120|balvanera	Av Corrientes	2120	Balvanera	-34.604624	-58.397069	-34.604542287053356	-58.39705874471205	2	9.1	-34.6045831	-58.3970639
forest|800|chacarita	Forest	800	Chacarita	-34.583313	-58.455776	-34.583194116997	-58.455769703349	2	13.2	-34.5832536	-58.4557729
aristobulo del valle|1700|barracas	Aristóbulo Del Valle	1700	Barracas	-34.636295	-58.374922	-34.6362668368381	-58.3750337490267	2	10.7	-34.6362809	-58.3749779
migueletes|1800|belgrano	Migueletes	1800	Belgrano	-34.559024	-58.444174	-34.5589249434296	-58.4441975303333	2	11.2	-34.5589745	-58.4441858
talcahuano|1155|recoleta	Talcahuano	1155	Recoleta	-34.59507	-58.38579	-34.59506454410723	-58.38578311731913	2	0.9	-34.5950673	-58.3857866
av ricardo balbin|2500|belgrano	Av. Ricardo Balbín	2500	Belgrano	-34.562312	-58.46644	-34.5621903695864	-58.466490193168	2	14.3	-34.5622512	-58.4664651
miranda|5233|monte castro	Miranda	5233	Monte Castro	-34.625222	-58.508509	-34.62521152408675	-58.50843590244384	2	6.8	-34.6252168	-58.5084725
av cordoba|2501|balvanera	Avenida Cordoba	2501	Balvanera	-34.598896	-58.402713	-34.5991208990001	-58.4024744897345	2	33.2	-34.5990084	-58.4025937
