punto_id,tipo,nombre,lat,lon,color_default
217,espacio_verde,Espacio verde 217,-34.655725944635634,-58.44764523612026,#2ca02c
218,espacio_verde,Diputada Emar Acosta,-34.65985535020637,-58.49535659085916,#2ca02c
219,espacio_verde,Francisco Gil,-34.65413407937324,-58.41067502277146,#2ca02c
220,espacio_verde,Guillermo Facio Hebequer,-34.65641917141908,-58.4155722764235,#2ca02c
221,espacio_verde,Norberto Tucho Méndez,-34.652326434863895,-58.40797082441778,#2ca02c
222,espacio_verde,Espacio verde 222,-34.597680597575476,-58.37135492007253,#2ca02c
223,espacio_verde,Espacio verde 223,-34.59774674660987,-58.37157450643045,#2ca02c
224,espacio_verde,Plaza Ciudad de Udine,-34.62071176642036,-58.492282799822625,#2ca02c
225,espacio_verde,Espacio verde 225,-34.597519367960174,-58.37184243684204,#2ca02c
226,espacio_verde,Espacio verde 226,-34.59813038175341,-58.37149871016142,#2ca02c
227,espacio_verde,Espacio verde 227,-34.596641927870124,-58.37214453376296,#2ca02c
228,espacio_verde,Espacio verde 228,-34.596578714500716,-58.37189306889425,#2ca02c
229,espacio_verde,Cap. Vicente A. Almonacid,-34.55502113595499,-58.49392639524793,#2ca02c
230,espacio_verde,Espacio verde 230,-34.64311396145113,-58.471971138314416,#2ca02c
231,espacio_verde,Espacio verde 231,-34.64397153153564,-58.47318562643846,#2ca02c
232,espacio_verde,Plazoleta del Kiosco de La Floresta,-34.63171310123599,-58.48060656505246,#2ca02c
233,espacio_verde,Plaza Dr. Bernardo A. Houssay,-34.59898580166588,-58.39815160046496,#2ca02c
234,espacio_verde,Plaza Miserere,-34.609709868723094,-58.40754936105876,#2ca02c
235,espacio_verde,Espacio verde 235,-34.6874024948364,-58.46525946281281,#2ca02c
236,espacio_verde,Espacio verde 236,-34.68411926526375,-58.46947389092993,#2ca02c
237,espacio_verde,Espacio verde 237,-34.55007316678842,-58.43507060772192,#2ca02c
238,espacio_verde,Espacio verde 238,-34.65018795999512,-58.45449283621252,#2ca02c
239,espacio_verde,Espacio verde 239,-34.653715508755646,-58.5194291186824,#2ca02c
240,espacio_verde,Parque La Isla de la Paternal,-34.593971438473154,-58.47461505649971,#2ca02c
241,espacio_verde,Ramona Gastiazoro de Brontes,-34.62472960047015,-58.398218478950916,#2ca02c
242,espacio_verde,Espacio verde 242,-34.5886234411058,-58.45130000286557,#2ca02c
243,espacio_verde,Plaza de los Viveros,-34.6917892628851,-58.464074456142384,#2ca02c
244,espacio_verde,Plaza Rubén Darío,-34.583209547358365,-58.394364093677055,#2ca02c
245,espacio_verde,Plazoleta Carlos Gardel,-34.63503613187171,-58.447271459531855,#2ca02c
246,espacio_verde,Espacio verde 246,-34.65773082633534,-58.422932688065174,#2ca02c
247,espacio_verde,Espacio verde 247,-34.658343485982805,-58.4222439199526,#2ca02c
248,espacio_verde,Espacio verde 248,-34.634104945863605,-58.48728087481306,#2ca02c
249,espacio_verde,Espacio verde 249,-34.64958654399598,-58.469903939614355,#2ca02c
250,espacio_verde,Juana Manso,-34.61352920476189,-58.3622859232891,#2ca02c
251,espacio_verde,Espacio verde 251,-34.652828760389106,-58.44668558968331,#2ca02c
252,espacio_verde,Espacio verde 252,-34.65468231478858,-58.44897124166134,#2ca02c
253,espacio_verde,Espacio verde 253,-34.65538864752924,-58.44984268530139,#2ca02c
254,espacio_verde,Espacio verde 254,-34.55211025457888,-58.48907294700753,#2ca02c
255,espacio_verde,Espacio verde 255,-34.552525950285954,-58.48969842624518,#2ca02c
256,espacio_verde,Espacio verde 256,-34.65566750616521,-58.47062581718732,#2ca02c
257,espacio_verde,Espacio verde 257,-34.652450032754004,-58.48879131986967,#2ca02c
258,espacio_verde,Espacio verde 258,-34.65270733753395,-58.486077089724155,#2ca02c
259,espacio_verde,Espacio verde 259,-34.602048845573755,-58.501022337766095,#2ca02c
260,espacio_verde,Espacio verde 260,-34.65208103862639,-58.44278203396095,#2ca02c
261,espacio_verde,M. Teresa Alberletche,-34.6503426592881,-58.42705794641337,#2ca02c
262,espacio_verde,Espacio verde 262,-34.65347181397388,-58.441067911081674,#2ca02c
263,espacio_verde,Plaza Hugo Ricardo Corradi,-34.63566376309502,-58.49713902541609,#2ca02c
264,espacio_verde,Espacio verde 264,-34.682755564490606,-58.48207794811533,#2ca02c
265,espacio_verde,Espacio verde 265,-34.68288044629811,-58.48138335736916,#2ca02c
266,espacio_verde,Espacio verde 266,-34.68585302314402,-58.48613639604,#2ca02c
267,espacio_verde,Espacio verde 267,-34.68613397461209,-58.485285964265984,#2ca02c
268,espacio_verde,Espacio verde 268,-34.68436823485853,-58.48801068745443,#2ca02c
269,espacio_verde,Espacio verde 269,-34.68526889944738,-58.4869888636084,#2ca02c
270,espacio_verde,Plaza Francisco Sicardi,-34.64562914545681,-58.45263997420321,#2ca02c
271,espacio_verde,Espacio verde 271,-34.68404230378862,-58.48317424082487,#2ca02c
272,espacio_verde,Espacio verde 272,-34.684328378360306,-58.482852519485164,#2ca02c
273,espacio_verde,Espacio verde 273,-34.68501967214697,-58.48376772266017,#2ca02c
274,espacio_verde,Espacio verde 274,-34.68502062849818,-58.48499779926987,#2ca02c
275,espacio_verde,Espacio verde 275,-34.686765216618305,-58.48452407859074,#2ca02c
276,espacio_verde,Espacio verde 276,-34.687470130412144,-58.48301743760423,#2ca02c
277,espacio_verde,Espacio verde 277,-34.68769101266715,-58.48372129755554,#2ca02c
278,espacio_verde,Espacio verde 278,-34.58847234962286,-58.45109033060492,#2ca02c
279,espacio_verde,Espacio verde 279,-34.67271891523436,-58.47696394817297,#2ca02c
280,espacio_verde,Espacio verde 280,-34.67355396230678,-58.47732378859209,#2ca02c
281,espacio_verde,Espacio verde 281,-34.67432003660886,-58.477643931430485,#2ca02c
282,espacio_verde,Alberto Lagos,-34.58838528693605,-58.392263049484754,#2ca02c
283,espacio_verde,Espacio verde 283,-34.6763128271142,-58.4785081554376,#2ca02c
284,espacio_verde,Espacio verde 284,-34.67739383204573,-58.47926454113648,#2ca02c
285,espacio_verde,Espacio verde 285,-34.67736899500672,-58.47938035577716,#2ca02c
286,espacio_verde,Espacio verde 286,-34.677546946041645,-58.47877673335032,#2ca02c
287,espacio_verde,Espacio verde 287,-34.67758036499895,-58.47866101491357,#2ca02c
288,espacio_verde,Espacio verde 288,-34.6793664465199,-58.479494710601536,#2ca02c
289,espacio_verde,Espacio verde 289,-34.67985179350467,-58.480553583793416,#2ca02c
290,espacio_verde,Espacio verde 290,-34.6718869299142,-58.476568527772216,#2ca02c
291,espacio_verde,Espacio verde 291,-34.66998548252974,-58.47611356363228,#2ca02c
292,espacio_verde,Espacio verde 292,-34.67034116248489,-58.47550829716223,#2ca02c
293,espacio_verde,Espacio verde 293,-34.66789781647197,-58.47529273848013,#2ca02c
294,espacio_verde,Espacio verde 294,-34.66806445399814,-58.474472512298306,#2ca02c
295,espacio_verde,Espacio verde 295,-34.66795770964608,-58.47433215206829,#2ca02c
296,espacio_verde,Espacio verde 296,-34.66767340826226,-58.47535551666232,#2ca02c
297,espacio_verde,Plazoleta Los Amigos,-34.63848933458612,-58.494611690838255,#2ca02c
298,espacio_verde,Plaza Martín Fierro,-34.62607393824791,-58.4078197554663,#2ca02c
299,espacio_verde,Espacio verde 299,-34.66616130056498,-58.47402987960403,#2ca02c
300,espacio_verde,Espacio verde 300,-34.66528991711842,-58.473985704696965,#2ca02c
301,espacio_verde,Espacio verde 301,-34.66566930586896,-58.47342421501394,#2ca02c
302,espacio_verde,Espacio verde 302,-34.66210918725677,-58.47248326742651,#2ca02c
303,espacio_verde,Espacio verde 303,-34.66243564513742,-58.47212668195292,#2ca02c
304,espacio_verde,Espacio verde 304,-34.6628505959768,-58.47210295231141,#2ca02c
305,espacio_verde,Espacio verde 305,-34.66034070672696,-58.47183133667158,#2ca02c
306,espacio_verde,Espacio verde 306,-34.66075891316939,-58.47121756549304,#2ca02c
307,espacio_verde,Espacio verde 307,-34.66828287293324,-58.47543220002694,#2ca02c
308,espacio_verde,Espacio verde 308,-34.668333056272,-58.47526777347032,#2ca02c
309,espacio_verde,Espacio verde 309,-34.66845131239683,-58.47476122245364,#2ca02c
310,espacio_verde,Espacio verde 310,-34.658462716116865,-58.47102370667814,#2ca02c
